country_code,found_country,longitude,address,latitude,country_name,used,continent,alt_addr,timestamp,no_result
US,True,-71.0578303,"Boston, MA",42.3588336,United States,0,North America,,,
US,True,-70.2983549,"Hyannis Port, MA",41.6334445,United States,0,North America,,,
US,True,-71.1667898,"Holyhood Cemetery, Brookline, MA",42.3204659,United States,0,North America,,,
US,True,-71.0544954,"North End, Boston, MA",42.3650974,United States,0,North America,,,
GB,True,1.0465716,"Suffolk, England",52.2410014,England,0,Europe,,,
BE,True,4.6667145,Belgium,50.6402809,Belgium,0,Europe,,,
FR,True,1.8883335,France,46.603354,France,0,Europe,,,
US,True,-76.9959168,"Westminster, MD",39.5751717,United States,0,North America,,,
US,True,-77.0365427,"Washington, DC",38.8950368,United States,0,North America,,,
US,True,-118.242766,"Los Angeles, CA",34.0536909,United States,0,North America,,,
US,True,-77.0691117,"Arlington National, VA",38.8785384,United States,0,North America,,,
US,True,-74.0060152,New York,40.7127281,United States,0,North America,,,
US,True,-71.1187829,"Brookline, MA",42.332918,United States,0,North America,,,
IE,True,-6.1862109,"Dunganstown, Ireland",53.5201846,Ireland,0,Europe,,,
US,True,-71.0694673,"Cathedral Of The Holy Cross, MA",42.340733,United States,0,North America,,,
US,True,-75.8449946,"Lennox Hill Hosp., NY",43.1561681,United States,0,North America,,,
US,True,-75.8449946,"St. Philomena's Cemetery, NY",43.1561681,United States,0,North America,,,
US,True,-96.7968559,"Dallas, TX",32.7762719,United States,0,North America,,,
US,True,-73.0994297,"Southampton, Long Island, NY",40.8514971,United States,0,North America,,,
US,True,-74.0060152,"NYC, NY",40.7127281,United States,0,North America,,,
ZA,True,29.4215212,St. Patricks Cathedral,-30.5458903,South Africa,0,Africa,,,
US,True,-72.032366,"Otis Air Force B, Mass",42.3788774,United States,0,North America,,,
US,True,-71.0578303,"Boston, Mass",42.3588336,United States,0,North America,,,
GB,True,-0.1277653,London,51.5074456,United Kingdom,0,Europe,,,
US,True,-73.6284598,"Greenwich, Connecticut",41.0264862,United States,0,North America,,,
US,True,-71.0694673,"Holy Cross Cathedral, Boston, MA",42.340733,United States,0,North America,,,
US,True,-71.3137707,"Newport, RI",41.4899827,United States,0,North America,,,
US,True,-70.2983549,"Hyannis Port, MA ",41.6334445,United States,0,North America,,,
US,True,-76.9161654,"Wakefield, Popes Creek, Westmoreland, Virginia",38.1859162,United States,0,North America,,,
US,True,-77.0888199,"Mount Vernon, Fairfax, Virginia",38.710179,United States,0,North America,,,
US,True,-76.7567355,"Bridge's Creek, Westmoreland, Virginia",38.1153203,United States,0,North America,,,
US,True,-77.175356,"Ferry Farm, King George, Virginia",38.2786312,United States,0,North America,,,
US,True,-76.5258553,"Of, Epping Forest, Lancaster, Virginia",37.7913044,United States,0,North America,,,
US,True,-76.9491371,"Wakefield, Westmoreland, Virginia",38.1720754,United States,0,North America,,,
