country_code,found_country,longitude,address,latitude,country_name,alt_addr,continent,used,timestamp,no_result
NONE,True,-125.002441,B.C.,55.001251,,,,0,,
NONE,True,-8.2258389,Abt 2046 B.C.,39.3744227,,,,0,,
NONE,True,-8.1143326,Abt 1872 B.C.,39.4665754,,,,0,,
NONE,True,-64.8994911,"Abt 2122, , B.C.",-14.827529,,,,0,,
NONE,True,-117.0374809,"2003, , B.C.",32.5242034,,,,0,,
NONE,True,-96.854159,"2181, , B.C.",19.515224,,,,0,,
NONE,True,-116.223866,"2213, , B.C.",50.4688973,,,,0,,
NONE,True,-8.2258389,Abt 2244 B.C.,39.3744227,,,,0,,
NONE,True,-116.9708726,2004 B.C.,32.5311715,,,,0,,
NONE,True,-8.1976171,Abt 2277,39.4629232,,,,0,,
NONE,True,-60.9553503,"Abt 2307, , B.C.",-16.3823043,,,,0,,
NONE,True,-8.1976171,Abt 2342,39.4629232,,,,0,,
NONE,True,-60.9553503,"Abt 2442, , B.C.",-16.3823043,,,,0,,
NONE,True,-8.1976171,Abt 3126,39.4629232,,,,0,,
NONE,True,-122.4396671,"2349, , B.C.",52.9353604,,,,0,,
NONE,True,-60.9553503,"Abt 3313, , B.C.",-16.3823043,,,,0,,
NONE,True,5.2844231,"2344, , B.C., B.C.",52.6983808,,,,0,,
NONE,True,-8.1976171,Abt 3378,39.4629232,,,,0,,
NONE,True,-120.7672584,"3013, , B.C.",50.098384,,,,0,,
NONE,True,-8.1976171,Abt 3540,39.4629232,,,,0,,
NONE,True,5.764584,"2578, , B.C.",52.0893976,,,,0,,
NONE,True,-60.9553503,"Abt 3605, , B.C.",-16.3823043,,,,0,,
NONE,True,-123.069506,"2710, , B.C.",49.2602361,,,,0,,
NONE,True,-119.5773712,"2765, , B.C.",49.5806202,,,,0,,
NONE,True,-120.3514268,"2860, , B.C.",50.7551738,,,,0,,
NONE,True,-60.9553503,"Abt 3870, , B.C.",-16.3823043,,,,0,,
NONE,True,-7.975971,"Abt 3070 B.C., East of Eden",12.6173258,,,,0,,
NONE,True,-60.6312889,Am 1556,-3.290751,,,,0,,
NONE,True,151.0290461,Am 2158,-33.7061125,,,,0,,
NONE,True,58.816667,Aged 137,20.566667,,,,0,,
NONE,True,-58.1962988,"Abt 4000 B.C., Garden of Eden",6.6374891,,,,0,,
NONE,True,-7.975971,East of Eden,12.6173258,,,,0,,
ES,True,-1.7753015,"of, Navarre, , Spain",42.1006888,Spain,,Europe,0,,
ES,True,-5.1387401,"of, Castile, , Spain",41.55005,Spain,,Europe,0,,
IL,True,35.221899,"A.M. 2919, Bethlehem, Israel",31.7591802,Israel,,Asia,0,,
NONE,True,2.2619391,A.M. 2989,48.83702,,,,0,,
NONE,True,-122.4945196,915 B.C.,52.9874648,,,,0,,
NONE,True,-0.1278188,"of, Britain",51.4911182,,,,0,,
