found_country,used,continent,address,country_name,latitude,alt_addr,country_code,longitude
True,0,North America,"Washington, District of Columbia, USA",USA,38.8950368,,US,-77.0365427
True,0,North America,"Hope, Hempstead, Arkansas, USA",USA,33.6670616,,US,-93.5915665
True,0,North America,"Chicago, Cook, Illinois, USA",USA,41.8755616,,US,-87.6244212
True,0,North America,"Sherman, Grayson, Texas, USA",USA,33.6398609,,US,-96.6089146
True,0,North America,"Missouri, USA",USA,38.7604815,,US,-92.5617875
True,0,North America,"Sikeston, Scott, Missouri, USA",USA,36.876719,,US,-89.5878579
True,0,North America,"Bodcaw, Nevada, Arkansas, USA",USA,33.5579004,,US,-93.4063842
True,0,North America,"Tippah, Mississippi, USA",USA,34.7296814,,US,-88.9119403
True,0,North America,"Grayson, Texas, USA",USA,33.5636114,,US,-96.6702111
True,0,North America,"Parker Twp, Nevada, Arkansas, USA",USA,33.6413476,,US,-93.3055491
True,0,North America,"Falkner, Tippah, Mississippi, USA",USA,34.8420376,,US,-88.934228
True,0,North America,"Franklin, Georgia, USA",USA,34.3678642,,US,-83.2156575
True,0,North America,"Florida, USA",USA,27.7567667,,US,-81.4639835
True,0,North America,"Kossuth, Alcorn, Mississippi, USA",USA,34.8732672,,US,-88.6405963
True,0,North America,"Coffee, Alabama, USA",USA,31.3629619,,US,-85.9870669
True,0,North America,"Red Level, Covington, Alabama, USA",USA,31.4071111,,US,-86.6121861
True,0,North America,"Covington, Alabama, USA",USA,31.196549,,US,-86.4597236
True,0,North America,"Butler, Alabama, USA",USA,31.7340713,,US,-86.6754793
True,0,North America,"Ebenezer Cemetery, Parker, Nevada, Arkansas, USA",USA,33.6413476,,US,-93.3055491
True,0,North America,"Union, Louisiana, USA",USA,32.8385899,,US,-92.3910295
True,0,North America,"Oak Grove Cemetery, DeRoan Twp, Hempstead, Arkansas, USA",USA,33.6949319,,US,-93.6929825
True,0,North America,"Hempstead, Arkansas, USA",USA,33.6949319,,US,-93.6929825
True,0,North America,"Alabama, USA",USA,33.2588817,,US,-86.8295337
True,0,North America,"Rutherford, Tennessee, USA",USA,35.8563421,,US,-86.4205249
True,0,North America,"Tennessee, USA",USA,35.7730076,,US,-86.2820081
True,0,North America,"Parker, Texas, USA",USA,32.7772597,,US,-97.8045599
True,0,North America,"North Carolina, USA",USA,35.6729639,,US,-79.0392919
True,0,North America,"Ripley, Tippah, Mississippi, USA",USA,34.7307014,,US,-88.9488276
True,0,Europe,Ireland,Ireland,52.865196,,IE,-7.9794599
True,0,North America,"Carnesville, Franklin, Georgia, USA",USA,34.3698266,,US,-83.235155
True,0,North America,"Chesterfield, South Carolina, USA",USA,34.6500578,,US,-80.1417843
True,0,North America,"Early, Georgia, USA",USA,31.3454341,,US,-84.9282058
True,0,North America,"South Carolina, USA",USA,33.6874388,,US,-80.4363743
True,0,North America,"Kershaw, South Carolina, USA",USA,34.3334398,,US,-80.5669895
True,0,North America,"Shover Springs, Hempstead, Arkansas, USA",USA,33.6228953,,US,-93.5304543
True,0,North America,"McMinn, Tennessee, USA",USA,35.444223,,US,-84.624875
True,0,North America,"Arkansas, USA",USA,35.2048883,,US,-92.4479108
True,0,North America,"Union, Mississippi, USA",USA,34.4834555,,US,-88.9789198
True,0,North America,"Marshall, Mississippi, USA",USA,34.7329208,,US,-89.4725635
True,0,North America,"Randolph, North Carolina, USA",USA,35.7142874,,US,-79.7975166
True,0,North America,"Kentucky, USA",USA,37.5726028,,US,-85.1551411
True,0,North America,"Anson, North Carolina, USA",USA,34.9705848,,US,-80.0958187
True,0,North America,"Orangeburg, South Carolina, USA",USA,33.4918203,,US,-80.8556476
True,0,North America,"Longstreet, Coffee, Alabama, USA",USA,31.3629619,,US,-85.9870669
True,0,North America,"Darlington, Darlington, South Carolina, USA",USA,34.3028537,,US,-79.8710831
True,0,North America,"Ramer, Montgomery, Alabama, USA",USA,32.0500362,,US,-86.2199457
True,0,North America,"Montgomery, Alabama, USA",USA,32.3777111,,US,-86.3090775
True,0,North America,"Mt. Pleasant, Crenshaw, Alabama, USA",USA,31.8324874,,US,-86.3114018
True,0,North America,"Crenshaw, Alabama, USA",USA,31.6809362,,US,-86.3244009
True,0,North America,"Lincoln, North Carolina, USA",USA,35.4866424,,US,-81.2062724
True,0,North America,"Macon, Tennessee, USA",USA,36.5237906,,US,-86.0130908
True,0,North America,"Little Rock, Pulaski, Arkansas, USA",USA,34.7465071,,US,-92.2896267
True,0,Europe,"Tipperary, Ireland",Ireland,52.4734839,,IE,-8.1614446
True,0,Europe,"London, England",England,51.5074456,,GB,-0.1277653
True,0,North America,"Java, Wyoming, New York, USA",USA,42.6609691,,US,-78.3886656
True,0,North America,"Fulton, Whiteside, Illinois, USA",USA,41.8662157,,US,-90.1657833
True,0,North America,"Beverly Hills, Los Angeles, California, USA",USA,34.0696501,,US,-118.3963062
True,0,North America,"Illinois, USA",USA,40.0796606,,US,-89.4337288
True,0,North America,"Clarkson, Monroe, New York, USA",USA,43.233116,,US,-77.927513
True,0,North America,"New York, USA",USA,40.7127281,,US,-74.0060152
True,0,Europe,"Renfrewshire, Scotland",Scotland,55.833333,,GB,-4.5
True,0,North America,"Queens, New Brunswick, Canada",Canada,45.8838758,,CA,-65.9861428
True,0,Europe,"Argyle, Scotland",Scotland,55.9523918,,GB,-3.2086898
True,0,Europe,"Paisley, Renfrewshire, Scotland",Scotland,55.8455828,,GB,-4.4239646
True,0,Europe,"Surrey, England",England,51.2715316,,GB,-0.3414524
True,0,North America,"Clyde Twp, Whiteside, Illinois, USA",USA,41.7612332,,US,-89.9214744
True,0,North America,"Tampico, Whiteside, Illinois, USA",USA,41.6324811,,US,-89.7850393
True,0,Europe,"Epson, Surrey, England",England,51.2715316,,GB,-0.3414524
True,0,Europe,England,England,52.5310214,,GB,-1.2649062
True,0,North America,"Port Tobacco, Charles, Maryland, USA",USA,38.5112633,,US,-77.0204083
True,0,North America,"Frederick, Maryland, USA",USA,39.415779,,US,-77.4127562
