address,continent,longitude,country_code,used,alt_addr,no_result,country_name,found_country,timestamp,latitude
"Kensington,Palace,London,England",Europe,-0.1876332,GB,0,,,England,True,,51.505099
"Osborne House,Isle of Wight,England",Europe,-1.2700819,GB,0,,,England,True,,50.7505772
"Royal Mausoleum,Frogmore,Berkshire,England",Europe,-0.5982911,GB,0,,,England,True,,51.4740348
"Schloss Rosenau,Near Coburg,Germany",Europe,10.4478313,DE,0,,,Germany,True,,51.1638175
"Windsor Castle,Berkshire,England",Europe,-0.6040419,GB,0,,,England,True,,51.4837886
"Royal Masoleum,Frogmore,Windsor,England",Europe,-0.597552,GB,0,,,England,True,,51.4756084
"Buckingham,Palace,London,England",Europe,-0.1438839,GB,0,,,England,True,,51.4978676
"Throne Room,Buckingham Palac,England",Europe,-0.1430045,GB,0,,,England,True,,51.5008349
"Friedrichshof,Near,Kronberg,Taunus",Europe,8.5085855,DE,0,,,Deutschland,True,,50.1796561
"Friedenskirche,Potsdam",Europe,13.0435766,DE,0,,,Deutschland,True,,52.4012197
"Windsor,Berkshire,England",Europe,-0.6040419,GB,0,,,England,True,,51.4837886
"Darmstadt,,,Germany",Europe,8.651177,DE,0,,,Germany,True,,49.872775
"Schloss Rosenau,Near Coburg",,,,0,,True,,True,1767244429.1296508,
"Schomberg House,Pall Mall,London,England",Europe,-0.1373398,GB,0,,,England,True,,51.5052863
"Frogmore,,,England",Europe,-0.3355844,GB,0,,,England,True,,51.7190385
"Bagshot Park,Surrey",Europe,-0.6931739,GB,0,,,United Kingdom,True,,51.3713707
Cannes,Europe,7.0134418,FR,0,,,France,True,,43.5515198
"Bantridge Park,Balcombe,Sussex,England",Europe,-0.1329998,GB,0,,,England,True,,51.0573017
"Yellow Palace,Copenhagen,Denmark",Europe,12.5700724,DK,0,,,Denmark,True,,55.6867243
"Sandringham,,Norfolk,England",Europe,0.4318137,GB,0,,,England,True,,52.8427652
"St. George Chap.,Windsor,Berkshire,England",Europe,-0.6040419,GB,0,,,England,True,,51.4837886
"Frogmore House,Windsor,Berkshire,England",Europe,-0.5944637,GB,0,,,England,True,,51.4743933
"Marlborough Hse,London,England",Europe,-0.1360297,GB,0,,,England,True,,51.504975
"Windsor Castle,St. George Chap.,Berkshire,England",Europe,-1.031873,GB,0,,,England,True,,51.4534889
"Marlborough,House,London,England",Europe,-0.0953269,GB,0,,,England,True,,51.5704927
"Portman Square,London,England",Europe,-0.1547569,GB,0,,,England,True,,51.516013
"Coppins,Iver,Bucks,England",Europe,-0.8946441,GB,0,,,England,True,,51.7834994
"London,England",Europe,-0.1277653,GB,0,,,England,True,,51.5074456
"Neues Palais,Potsdam,Germany",Europe,13.0158969,DE,0,,,Germany,True,,52.4013836
"Friedenskirche,Potsdam,Germany",Europe,13.0435766,DE,0,,,Germany,True,,52.4012197
"Berlin,Germany",Europe,13.3951309,DE,0,,,Germany,True,,52.5173885
"Haus Doorn,Netherlands",Europe,5.3445416,NL,0,,,Netherlands,True,,52.030836
Arolsen,Europe,9.0376388,DE,0,,,Deutschland,True,,51.3649894
Tyrol,Europe,11.5261028,AT,0,,,Österreich,True,,47.223193
"Whippingham Ch.,Isle of Wight,England",Europe,-1.2703607,GB,0,,,England,True,,50.740502
Lausanne,Europe,6.6327025,CH,0,,,Schweiz/Suisse/Svizzera/Svizra,True,,46.5218269
"St. George's,Chapel,Windsor Castle,England",Europe,-0.6040419,GB,0,,,England,True,,51.4837886
"White Lodge,Richmond Park,Surrey,England",Europe,-0.3008938,GB,0,,,England,True,,51.3368965
"Paris,,,France",Europe,2.3483915,FR,0,,,France,True,,48.8534951
"York Cottage,Sandringham,Norfolk,England",Europe,0.5162681,GB,0,,,England,True,,52.8262326
"St. George Chap.,,Windsor,England",Europe,-0.6040419,GB,0,,,England,True,,51.4837886
"Harewood House,Yorkshire,,England",Europe,-1.5287425,GB,0,,,England,True,,53.8948932
"Morven,,,Scotland",Europe,-3.6957832,GB,0,,,Scotland,True,,58.233703
"Wood Farm,Wolferton,Norfolk,England",Europe,0.4625821,GB,0,,,England,True,,52.8293207
"Tsarskoye Selo,Pushkin,,Russia",Europe,30.4069376,RU,0,,,Russian Federation,True,,59.7205467
"Ekaterinburg,,,Russia",Europe,60.6007886,RU,0,,,Russian Federation,True,,56.8382071
"Livadia,Crimea,Near Yalta,Russia",Europe,97.7453061,RU,0,,,Russian Federation,True,,64.6863136
"Cathedral of the,Fortress of P&P,St. Petersburg,Russia",Europe,30.316229,RU,0,,,Russian Federation,True,,59.938732
"Copenhagen,,,Denmark",Europe,12.5700724,DK,0,,,Denmark,True,,55.6867243
"Alexander Palace,Tsarskoe Selo,,Russia",Europe,97.7453061,RU,0,,,Russian Federation,True,,64.6863136
"Peterhof,Near,St. Petersburg,Russia",Europe,30.2046418,RU,0,,,Russian Federation,True,,59.9372321
